date,unique_id,temperature,replicate,cell_density,cell_volume,time_since_innoc_hours,days
NA,5_4,5,4,1200,661.802,12.18056,0.507523333
NA,5_5,5,5,1200,661.802,12.18056,0.507523333
NA,8_1,8,1,1200,661.802,12.18056,0.507523333
NA,8_2,8,2,1200,661.802,12.18056,0.507523333
NA,8_3,8,3,1200,661.802,12.18056,0.507523333
NA,8_4,8,4,1200,661.802,12.18056,0.507523333
NA,8_5,8,5,1200,661.802,12.18056,0.507523333
NA,16_1,16,1,1200,661.802,12.18056,0.507523333
NA,16_2,16,2,1200,661.802,12.18056,0.507523333
NA,16_3,16,3,1200,661.802,12.18056,0.507523333
NA,16_4,16,4,1200,661.802,12.18056,0.507523333
NA,16_5,16,5,1200,661.802,12.18056,0.507523333
NA,25_1,25,1,1200,661.802,12.18056,0.507523333
NA,25_2,25,2,1200,661.802,12.18056,0.507523333
NA,25_3,25,3,1200,661.802,12.18056,0.507523333
NA,25_4,25,4,1200,661.802,12.18056,0.507523333
NA,25_5,25,5,1200,661.802,12.18056,0.507523333
NA,32_1,32,1,1200,661.802,12.18056,0.507523333
NA,32_2,32,2,1200,661.802,12.18056,0.507523333
NA,32_3,32,3,1200,661.802,12.18056,0.507523333
NA,32_4,32,4,1200,661.802,12.18056,0.507523333
NA,32_5,32,5,1200,661.802,12.18056,0.507523333
